linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1,300.000 €,42.653831885751,18.092158454557,Dubrovnik,U stambenoj zgradi,Jednoetažni,3-sobni,5.,72,https://www.njuskalo.hr/nekretnine/stan-gruzu-oglas-41708595,1,1
2,429.000 €,42.617069612961,17.999570408984,Dubrovnik,U kući,Jednoetažni,2-sobni,Prizemlje,87,https://www.njuskalo.hr/nekretnine/njuskalo-oglas-40760042,,
3,279.000 €,42.659134,18.076555,Dubrovnik,U stambenoj zgradi,Jednoetažni,1-sobni,3.,37,https://www.njuskalo.hr/nekretnine/atraktivan-apartman-parking-garaza-top-recenzije-oglas-41485160,1,1
4,245.000 €,42.694649434592,18.046898414543,Dubrovnik - Okolica,U stambenoj zgradi,Jednoetažni,2-sobni,2.,69,https://www.njuskalo.hr/nekretnine/stan-zaton-69.00-m2-novogradnja-oglas-42066048,2,1
5,1.500 €,43.04804999020212,17.631832117355945,Metković,U stambenoj zgradi,Jednoetažni,3-sobni,2.,136,https://www.njuskalo.hr/nekretnine/stambeno-poslovni-prostor-136-m2-oglas-41033005,1,
6,1.800 €,43.04396332400551,17.634280184767633,Metković,U kući,Jednoetažni,1-sobni,,260,https://www.njuskalo.hr/nekretnine/stambeni-prostor-260-m2-oglas-41033040,1,
7,435.000 €,42.94611083966,17.165863576367,Korčula,U kući,Jednoetažni,3-sobni,2.,79,https://www.njuskalo.hr/nekretnine/korcula-luksuzan-komforan-trosoban-apartman-150-metara-mora-oglas-40731716,1,
8,160.000 €,42.94815368271478,17.1331797351421,Korčula,U stambenoj zgradi,Jednoetažni,1-sobni,1.,54,https://www.njuskalo.hr/nekretnine/korcula-domince-jednosoban-stan-novogradnja-54m-oglas-40399204,1,1
9,178.374 €,42.583446218876,18.215243895721,Konavle,U stambenoj zgradi,Višeetažni,2-sobni,3.,57,https://www.njuskalo.hr/nekretnine/stan-cavtat-57.54-m2-novogradnja-oglas-41696457,1,1
10,135.375 €,42.944632328089,17.533134485584,Slivno,U stambenoj zgradi,Jednoetažni,2-sobni,2.,54,https://www.njuskalo.hr/nekretnine/prodaja-stan-43.26m2-komarna-oglas-41593896,1,
11,126.925 €,42.944663742645,17.533134485584,Slivno,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,50,https://www.njuskalo.hr/nekretnine/prodaja-stan-38.94m2-komarna-oglas-41593895,1,
12,178.025 €,42.944255352161,17.533220316272,Slivno,U stambenoj zgradi,Jednoetažni,3-sobni,2.,71,https://www.njuskalo.hr/nekretnine/prodaja-stan-71.21m2-komarna-oglas-41593894,1,
13,270.000 €,,,Blato,U kući,Dvoetažni,3-sobni,2.,56,https://www.njuskalo.hr/nekretnine/korcula-dvoetazni-stan-apartman-samoj-plazi-izvrsna-oglas-41221614,1,1
14,100.000 €,42.946922345317,17.167794997488,Korčula,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,35,https://www.njuskalo.hr/nekretnine/jednosoban-stan-atraktivnoj-lokaciji-otok-korcula-oglas-42258853,1,1
15,220.000 €,42.948669795438,17.169417013023,Korčula,U stambenoj zgradi,Jednoetažni,3-sobni,1.,77,https://www.njuskalo.hr/nekretnine/dvosoban-stan-atraktivnoj-lokaciji-otok-korcula-oglas-42258854,2,2
16,579.000 €,42.658377865284,18.078910498588,Dubrovnik,U stambenoj zgradi,Jednoetažni,4-sobni,,89,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-prekrasan-moderan-stan-pogledom-marinu-frapa-oglas-42101869,2,
17,580.000 €,42.65676087336,18.079842712273,Dubrovnik,U stambenoj zgradi,Jednoetažni,4-sobni,,102,https://www.njuskalo.hr/nekretnine/luksuzan-trosoban-stan-prekrasnim-pogledom-more-dubrovnik-oglas-42101866,2,
18,395.000 €,42.644224170063,18.115734687341,Dubrovnik,U stambenoj zgradi,Jednoetažni,4-sobni,,85,https://www.njuskalo.hr/nekretnine/ekskluzivna-ponuda-trosobni-stan-balkonom-pogledom-more-zlat-oglas-42101864,1,1
19,330.000 €,42.640468897053,18.110988820831,Dubrovnik,U stambenoj zgradi,Jednoetažni,3-sobni,,61,https://www.njuskalo.hr/nekretnine/sarmantan-stan-potkrovlju-korak-straduna-dubrovnik-centar-oglas-42101867,1,
20,6.500 €,42.656515412688,18.079664716617,Dubrovnik,U stambenoj zgradi,Jednoetažni,3-sobni,,79,https://www.njuskalo.hr/nekretnine/novogradnja-komforni-stan-blizini-setnice-lapad-dubrovnik-oglas-42101865,1,
21,392.000 €,42.690863963854,18.047986208166,Dubrovnik - Okolica,U stambenoj zgradi,Jednoetažni,2-sobni,,76,https://www.njuskalo.hr/nekretnine/novogradnja-pogledom-more-jednosoban-stan-blizini-dubrovnika-z-oglas-42101863,1,
22,415.000 €,42.625416190601,18.209264204653,Župa Dubrovačka,U kući,Jednoetažni,5+ sobni,,127,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-renoviran-moderno-ureden-pogledom-more-oko-oglas-42101860,2,
