linenum,url
1,https://www.njuskalo.hr/nekretnine/srima-novogradnja-luksuzni-2s-db-stan-oglas-41986148
2,https://www.njuskalo.hr/nekretnine/srima-novogradnja-luksuzni-penthouse-3s-db-oglas-41986143
3,https://www.njuskalo.hr/nekretnine/podsolarsko-predivan-stan-elitnom-naselju-oglas-41078230
4,https://www.njuskalo.hr/nekretnine/podsolarsko-odlican-1s-db-stan-vrtom-izvrsnoj-lokacniji-oglas-39216524
5,https://www.njuskalo.hr/nekretnine/podsolarsko-predivan-stan-okucnicom-oglas-37637102
6,https://www.njuskalo.hr/nekretnine/srima-novogradnja-luksuzni-3s-db-stan-oglas-41986146
7,https://www.njuskalo.hr/nekretnine/brodarica-novogradnja-odlican-3s-db-stan-oglas-40896931
8,https://www.njuskalo.hr/nekretnine/brodarica-novogradnja-odlican-3s-db-stan-bazenom-oglas-40896929
9,https://www.njuskalo.hr/nekretnine/podsolarsko-predivan-stan-okucnicom-oglas-37637103
10,https://www.njuskalo.hr/nekretnine/vodice-dvosoban-stan-1-kat-parking-miran-kvart-oglas-42328089
11,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-novogradnja-murter-oglas-40811231
12,https://www.njuskalo.hr/nekretnine/vodice-tri-spavace-sobe-pogled-more-2-kat-terasa-oglas-42327568
13,https://www.njuskalo.hr/nekretnine/vodice-stan-prizemlju-blizini-centra-s2-oglas-37790280
14,https://www.njuskalo.hr/nekretnine/vodice-stan-prvom-katu-blizini-centra-s4-oglas-37790278
15,https://www.njuskalo.hr/nekretnine/prodaja-stan-vodice-95-m2-blizina-plave-plaze-oglas-41646132
16,https://www.njuskalo.hr/nekretnine/vodice-db-2-spavace-sobe-pogledom-prodaja-oglas-41478661
17,https://www.njuskalo.hr/nekretnine/vodice-db-2-spavace-sobe-pogledom-prodaja-oglas-41478660
18,https://www.njuskalo.hr/nekretnine/vodice-db-2-spavace-sobe-pogledom-prodaja-oglas-41478659
19,https://www.njuskalo.hr/nekretnine/vodice-moderni-dvoetazni-stan-bazenom-prodaja-oglas-41478657
20,https://www.njuskalo.hr/nekretnine/vodice-db-2-spavace-sobe-pogledom-prodaja-oglas-41478658
21,https://www.njuskalo.hr/nekretnine/novogradnja-stan-primosten-odlicna-lokacija-s5-oglas-39300361
22,https://www.njuskalo.hr/nekretnine/stan-brodarica-135.00-m2-350.000-kupac-ne-placa-proviziju-oglas-41567983
